Site,SiteType,Year,Parameter,Max,Min,Avg,Count,Provenance
Duck Lake,Lake,2023,Chloride,10.131780643401767,8.005843961013664,8.967090425041494,33,simulated
Duck Lake,Lake,2024,Chloride,10.375284068838852,8.375685157118152,9.381043751896248,22,simulated
Duck Lake,Lake,2025,Chloride,10.048960185984354,7.477864858351799,8.74324755642708,21,simulated
Duck Lake,Lake,2000,Nitrate,13.386725741466899,8.826461093340392,11.644241483875648,20,simulated
Duck Lake,Lake,2001,Nitrate,12.528772465376722,9.137597732742545,11.090618682896862,21,simulated
Duck Lake,Lake,2002,Nitrate,12.263990956482328,9.580906982570706,11.64012864257084,25,simulated
Duck Lake,Lake,2003,Nitrate,12.371744152697495,8.695041224993759,10.30081812135503,24,simulated
Duck Lake,Lake,2004,Nitrate,13.844949089824919,8.898005659585126,11.357630915188723,21,simulated
Duck Lake,Lake,2005,Nitrate,13.62951052465806,9.046939778842916,11.459382912588474,24,simulated
Duck Lake,Lake,2006,Nitrate,12.889611234417659,10.169822996208397,11.671718759558516,18,simulated
Duck Lake,Lake,2007,Nitrate,12.463928535150083,9.810718273059498,10.849169272817736,23,simulated
Duck Lake,Lake,2008,Nitrate,13.047719004965101,9.590389230704046,11.266459465689548,27,simulated
Duck Lake,Lake,2009,Nitrate,12.848283984444695,9.522068017815368,10.825352608924309,22,simulated
Duck Lake,Lake,2010,Nitrate,13.416959179902538,9.521328595461911,11.273098865725805,20,simulated
Duck Lake,Lake,2011,Nitrate,12.109228246129867,8.436732240079925,10.777917943936622,21,simulated
Duck Lake,Lake,2012,Nitrate,12.720551967229088,9.448349124955804,10.94420346843494,20,simulated
Duck Lake,Lake,2013,Nitrate,12.601953181030861,9.008464036201124,10.67831366900622,21,simulated
Duck Lake,Lake,2014,Nitrate,13.88130143673548,9.48522133135983,11.307683476160989,23,simulated
Duck Lake,Lake,2015,Nitrate,13.538992784064659,9.101769964884397,11.359229010525803,20,simulated
Duck Lake,Lake,2016,Nitrate,13.027193557648861,10.330673083586952,10.89310576561992,24,simulated
Duck Lake,Lake,2017,Nitrate,12.753047893146809,9.54967322455052,10.971340133990214,27,simulated
Duck Lake,Lake,2018,Nitrate,12.68689308993941,8.60891608701629,10.352901674043796,22,simulated
Duck Lake,Lake,2019,Nitrate,12.694851877598774,8.455661533632018,10.777654894954608,30,simulated
Duck Lake,Lake,2020,Nitrate,12.120430256791343,9.381501459093352,10.846113984831536,27,simulated
Duck Lake,Lake,2021,Nitrate,14.534918516881602,11.042829357944417,11.86421000450697,29,simulated
Duck Lake,Lake,2022,Nitrate,12.357867582037755,8.422659395990394,10.37099430866034,24,simulated
Duck Lake,Lake,2023,Nitrate,12.906303893857137,9.892652962730189,11.347621463759204,29,simulated
Duck Lake,Lake,2024,Nitrate,12.644638860030138,10.00018365523483,11.134515322699018,23,simulated
Duck Lake,Lake,2025,Nitrate,12.693457963459807,9.4321666060119,10.825910535896538,30,simulated
Duck Lake,Lake,2000,Secchi Depth,13.137127657070545,9.029213136342435,10.789806785590129,24,simulated
Duck Lake,Lake,2001,Secchi Depth,11.932491176943456,8.454735811867558,10.186645836622017,22,simulated
Duck Lake,Lake,2002,Secchi Depth,11.200263690527045,9.480217732864716,10.3088370426548,21,simulated
Duck Lake,Lake,2003,Secchi Depth,12.67021447284279,8.883228544610418,10.87129509301492,22,simulated
Duck Lake,Lake,2004,Secchi Depth,10.900838902161672,8.508529627748313,10.331155702979258,21,simulated
Duck Lake,Lake,2005,Secchi Depth,12.78981847324573,9.740886016631398,10.866424938656772,23,simulated
Duck Lake,Lake,2006,Secchi Depth,12.147674592799278,8.80839548902631,10.22001766926156,14,simulated
Duck Lake,Lake,2007,Secchi Depth,12.405578120492784,9.423619565295045,11.051232419659195,21,simulated
Duck Lake,Lake,2008,Secchi Depth,11.904333082948643,8.836040821432082,10.310707574279384,23,simulated
Duck Lake,Lake,2009,Secchi Depth,13.58470888675987,9.185728658536137,10.987233959970352,19,simulated
Duck Lake,Lake,2010,Secchi Depth,12.431693538573509,8.685291346971496,11.036425274747716,24,simulated
Duck Lake,Lake,2011,Secchi Depth,11.645917638964406,8.4842051505428,10.570941550500583,22,simulated
Duck Lake,Lake,2012,Secchi Depth,13.447039743365961,10.065053795272547,11.064946825817264,28,simulated
Duck Lake,Lake,2013,Secchi Depth,13.565311357846966,9.028479460822503,10.968201846513953,28,simulated
Duck Lake,Lake,2014,Secchi Depth,12.289270502923571,8.464591276654719,10.693746839445874,22,simulated
Duck Lake,Lake,2015,Secchi Depth,12.588320255120204,8.787446832033204,10.540688817589478,24,simulated
Duck Lake,Lake,2016,Secchi Depth,12.339806843215428,8.18749835451273,10.20649684055106,24,simulated
Duck Lake,Lake,2017,Secchi Depth,12.375115369810924,8.439728247487968,11.090411190055235,23,simulated
Duck Lake,Lake,2018,Secchi Depth,11.72048799230383,8.371271673070932,10.396606381969802,25,simulated
Duck Lake,Lake,2019,Secchi Depth,13.292855728279774,9.271525876191161,11.03993763477336,23,simulated
Duck Lake,Lake,2020,Secchi Depth,13.379320904860169,8.788275139082035,10.9274714950242,22,simulated
Duck Lake,Lake,2021,Secchi Depth,13.273568171618333,9.546335037820437,11.304319282773536,28,simulated
Duck Lake,Lake,2022,Secchi Depth,12.159096760443786,9.312394353566352,10.95711217207992,28,simulated
Duck Lake,Lake,2023,Secchi Depth,13.578168900535086,9.506473317854969,10.968893010307143,24,simulated
Duck Lake,Lake,2024,Secchi Depth,12.820427897153891,8.898590905679995,11.392936939320617,29,simulated
Duck Lake,Lake,2025,Secchi Depth,12.775539370068103,9.998669491825614,11.265391071230605,25,simulated
Duck Lake,Lake,2000,Total Phosphorus,8.558182490145557,5.582839573295148,6.857818674789025,10,simulated
Duck Lake,Lake,2001,Total Phosphorus,8.171599108877816,5.2602419433468866,6.539246534523838,7,simulated
Duck Lake,Lake,2002,Total Phosphorus,7.2980563447384075,5.594992215302845,6.670106535127819,8,simulated
Duck Lake,Lake,2003,Total Phosphorus,7.608541782115313,4.91955931960408,6.316389849007447,8,simulated
Duck Lake,Lake,2004,Total Phosphorus,8.17991160631133,5.3276094572311745,6.391286148475451,9,simulated
Duck Lake,Lake,2005,Total Phosphorus,7.755783991042268,4.694034474877406,6.357332535242297,9,simulated
Duck Lake,Lake,2006,Total Phosphorus,6.9444242445343685,5.5127892892594605,6.150204710796684,10,simulated
Duck Lake,Lake,2007,Total Phosphorus,7.691073619655748,5.049679148491556,6.305504227571958,14,simulated
Duck Lake,Lake,2008,Total Phosphorus,7.799306755645233,4.412226185186187,5.831773511115252,9,simulated
Duck Lake,Lake,2009,Total Phosphorus,8.028261853229832,4.696433531792139,6.143640009184346,13,simulated
Duck Lake,Lake,2010,Total Phosphorus,7.5339842516369,3.6856433243295728,6.179972452465844,16,simulated
Duck Lake,Lake,2011,Total Phosphorus,7.926795672366158,4.639908848669442,6.159257515520089,11,simulated
Duck Lake,Lake,2012,Total Phosphorus,7.353030950566406,5.177210046474607,6.134157334903931,11,simulated
Duck Lake,Lake,2013,Total Phosphorus,6.833602580253712,4.825117416485683,6.1612115192712364,13,simulated
Duck Lake,Lake,2014,Total Phosphorus,7.317928891721756,5.644178897255496,6.301315649384256,17,simulated
Duck Lake,Lake,2015,Total Phosphorus,8.491113660860485,5.001276647787233,6.394278462106715,15,simulated
Duck Lake,Lake,2016,Total Phosphorus,7.096345683235038,4.903334995596406,5.889578160994689,13,simulated
Duck Lake,Lake,2017,Total Phosphorus,6.867451172125655,4.070815488400549,5.689927297179048,16,simulated
Duck Lake,Lake,2018,Total Phosphorus,6.872557949911408,4.647074231341148,5.712052606070248,12,simulated
Duck Lake,Lake,2019,Total Phosphorus,7.908053412679537,4.593223856060406,5.854440517063798,17,simulated
Duck Lake,Lake,2020,Total Phosphorus,7.816249508433705,4.8072636713149315,5.867404252790108,17,simulated
Duck Lake,Lake,2021,Total Phosphorus,7.836311614917566,3.7717251069570894,5.7122140642841615,15,simulated
Duck Lake,Lake,2022,Total Phosphorus,6.700525730266145,4.411027120956567,5.525762818552287,14,simulated
Duck Lake,Lake,2023,Total Phosphorus,7.149362834345484,3.7615521414533735,5.751473770695011,14,simulated
Duck Lake,Lake,2024,Total Phosphorus,6.633949275241195,4.271469306981607,5.914336763416215,18,simulated
Duck Lake,Lake,2025,Total Phosphorus,7.9447013925865875,4.473373195929147,6.008849183218335,21,simulated
Green Lake,Lake,2000,Chlorophyll-a,7.668038470715655,4.497102043964771,6.423168357288816,11,simulated
Green Lake,Lake,2001,Chlorophyll-a,6.893206672911331,4.695113330688907,5.729755685781681,10,simulated
Green Lake,Lake,2002,Chlorophyll-a,7.507730140257397,4.8625738817658375,6.191591890783344,10,simulated
Green Lake,Lake,2003,Chlorophyll-a,7.601757088689981,5.139770526537521,6.384146267506016,13,simulated
Green Lake,Lake,2004,Chlorophyll-a,7.459112469890614,5.099941830453158,6.162804412344107,6,simulated
Green Lake,Lake,2005,Chlorophyll-a,7.989165090086072,5.173809152037899,6.1875272159541375,14,simulated
Green Lake,Lake,2006,Chlorophyll-a,7.911830545532096,4.931210862699718,6.299044987394601,12,simulated
Green Lake,Lake,2007,Chlorophyll-a,8.263612478039606,5.903147486793998,6.615430636179513,9,simulated
Green Lake,Lake,2008,Chlorophyll-a,7.618557850467052,4.9324874445366405,6.508204089763559,13,simulated
Green Lake,Lake,2009,Chlorophyll-a,6.790747532191564,4.905551973612809,5.931319545825759,7,simulated
Green Lake,Lake,2010,Chlorophyll-a,7.522813171024477,5.21442589020851,5.997861900774895,8,simulated
Green Lake,Lake,2011,Chlorophyll-a,8.103972698516618,5.376902806817247,6.485509654691557,9,simulated
Green Lake,Lake,2012,Chlorophyll-a,8.791561606226605,4.980064625921791,6.842102129815575,10,simulated
Green Lake,Lake,2013,Chlorophyll-a,6.857698896580284,4.9234979440195445,5.902609080374205,8,simulated
Green Lake,Lake,2014,Chlorophyll-a,7.8400163285991,5.172361905709951,6.621601546842176,15,simulated
Green Lake,Lake,2015,Chlorophyll-a,7.316044647825035,5.622697515029938,6.648418111355165,11,simulated
Green Lake,Lake,2016,Chlorophyll-a,8.544080533591716,5.510919794182329,7.275599459254347,13,simulated
Green Lake,Lake,2017,Chlorophyll-a,8.498704307594467,5.15148418059617,6.762737831187498,11,simulated
Green Lake,Lake,2018,Chlorophyll-a,8.234722286661386,4.8761942348370315,7.038471979848714,7,simulated
Green Lake,Lake,2019,Chlorophyll-a,8.64873024001027,5.689313662299644,6.99970375503076,14,simulated
Green Lake,Lake,2020,Chlorophyll-a,7.496570146562509,4.8199165502303485,6.319175928766101,8,simulated
Green Lake,Lake,2021,Chlorophyll-a,8.849847138765545,5.7933786783095815,7.272893054777558,14,simulated
Green Lake,Lake,2022,Chlorophyll-a,8.059362948770024,5.176775585168032,7.134866214879797,10,simulated
Green Lake,Lake,2023,Chlorophyll-a,8.739199591191745,6.140216114987426,7.266520690593776,20,simulated
Green Lake,Lake,2024,Chlorophyll-a,8.577928492014248,6.374618802267172,8.40736845970607,17,simulated
Green Lake,Lake,2025,Chlorophyll-a,7.715908287122359,5.292885542236213,6.502893166507907,15,simulated
Green Lake,Lake,2000,Chloride,8.58110722176644,3.2285376084141073,6.482297561122871,10,simulated
Green Lake,Lake,2001,Chloride,7.848567205786599,4.544261801396981,7.258868946981572,12,simulated
Green Lake,Lake,2002,Chloride,8.995310478364058,5.780840351493575,7.155144187952207,8,simulated
Green Lake,Lake,2003,Chloride,9.90500496833147,4.595068621949512,7.261390631331877,11,simulated
Green Lake,Lake,2004,Chloride,9.644799958891472,6.515934421417279,7.866708640116962,14,simulated
Green Lake,Lake,2005,Chloride,10.157172651506485,4.407475374227947,7.659228894211114,12,simulated
Green Lake,Lake,2006,Chloride,10.223521775465773,5.435061525907068,7.49840347258688,13,simulated
Green Lake,Lake,2007,Chloride,8.392888764010758,4.488292445865298,6.518586572459325,12,simulated
Green Lake,Lake,2008,Chloride,9.312827079327306,3.8458783608558176,6.966232666642014,9,simulated
Green Lake,Lake,2009,Chloride,9.210922779381434,6.025674686342059,7.501313570636394,15,simulated
Green Lake,Lake,2010,Chloride,10.012804725687419,6.265531850552567,7.6985985104924115,20,simulated
Green Lake,Lake,2011,Chloride,9.770576052052501,5.211726894599289,7.084592811964771,15,simulated
Green Lake,Lake,2012,Chloride,12.261615010427981,5.322232428955638,9.18090860297798,16,simulated
Green Lake,Lake,2013,Chloride,11.069969147775282,7.230117555365718,8.75736237407788,17,simulated
Green Lake,Lake,2014,Chloride,11.156455521318758,7.912625419484889,8.3131784092485,12,simulated
Green Lake,Lake,2015,Chloride,11.231969599811325,5.8450150370875225,8.085401685178018,21,simulated
Green Lake,Lake,2016,Chloride,8.985321150827483,5.010954038896975,7.998438197819668,17,simulated
Green Lake,Lake,2017,Chloride,10.932613833611509,4.3072647065831715,7.635055751174341,21,simulated
Green Lake,Lake,2018,Chloride,10.740256840283795,6.03711249112612,8.337820963700853,15,simulated
Green Lake,Lake,2019,Chloride,11.616817614760265,6.136120796169987,8.533176943608588,23,simulated
Green Lake,Lake,2020,Chloride,11.04048378860905,4.372922070233651,7.690678348374957,20,simulated
Green Lake,Lake,2021,Chloride,10.406608189789887,7.52344179959128,8.755403449925929,19,simulated
Green Lake,Lake,2022,Chloride,10.687922737402186,6.118573375480464,8.534912120600069,19,simulated
Green Lake,Lake,2023,Chloride,9.698223067276988,4.9606427852827775,7.502163124718333,18,simulated
Green Lake,Lake,2024,Chloride,10.277580421156594,5.25262156654267,8.254322863931513,22,simulated
Green Lake,Lake,2025,Chloride,12.834269592493033,6.286984964156737,8.629472185309561,19,simulated
Green Lake,Lake,2000,Nitrate,10.561436200652796,8.5804228861507,9.133729811143423,18,simulated
Green Lake,Lake,2001,Nitrate,11.049301928700086,8.541242414117153,9.384800412996892,18,simulated
Green Lake,Lake,2002,Nitrate,10.41476875394546,8.305013473482067,9.505074163901464,17,simulated
Green Lake,Lake,2003,Nitrate,10.845638197357761,8.193248447241945,9.369293768816686,15,simulated
Green Lake,Lake,2004,Nitrate,10.952201180854962,8.864505234034729,9.718908323945096,20,simulated
Green Lake,Lake,2005,Nitrate,10.2733902970459,7.408639648009396,8.758036549720252,21,simulated
Green Lake,Lake,2006,Nitrate,9.814303411110547,7.960600029332986,9.347636060393931,21,simulated
Green Lake,Lake,2007,Nitrate,9.917775165666935,7.610312483941695,8.746814739321124,20,simulated
Green Lake,Lake,2008,Nitrate,10.544615679694997,8.463086918154165,9.47385789817868,19,simulated
Green Lake,Lake,2009,Nitrate,10.631848038385229,7.529769690368456,9.19815934222738,24,simulated
Green Lake,Lake,2010,Nitrate,10.788309327050344,7.396182747987018,9.320911138533416,19,simulated
Green Lake,Lake,2011,Nitrate,9.892656150099006,7.870347859258193,8.92287987245643,25,simulated
Green Lake,Lake,2012,Nitrate,10.547934165935224,8.443749540039569,9.51553674664621,20,simulated
Green Lake,Lake,2013,Nitrate,10.676410166298355,7.9286315994575345,9.41985909657794,21,simulated
Green Lake,Lake,2014,Nitrate,10.195541320775488,8.120839875027352,9.261429869301455,19,simulated
Green Lake,Lake,2015,Nitrate,10.591725439920806,7.837010275832226,9.03094188667933,22,simulated
Green Lake,Lake,2016,Nitrate,10.336983264372748,7.65505105901857,9.20731748124346,27,simulated
Green Lake,Lake,2017,Nitrate,8.970593839434096,8.295457590952028,8.815031194199804,26,simulated
Green Lake,Lake,2018,Nitrate,10.363371666049796,7.455042819947523,9.232733353651051,28,simulated
Green Lake,Lake,2019,Nitrate,10.326488778733715,8.101129941641762,9.430697468403372,27,simulated
Green Lake,Lake,2020,Nitrate,9.891470998221422,8.12290200650496,9.24046045707083,22,simulated
Green Lake,Lake,2021,Nitrate,9.463382358037748,7.538621216811979,8.707930050043542,25,simulated
Green Lake,Lake,2022,Nitrate,10.269669168574682,7.76250527595834,8.988744305526218,24,simulated
Green Lake,Lake,2023,Nitrate,10.140893096099129,7.936820321198477,8.500542499740392,30,simulated
Green Lake,Lake,2024,Nitrate,10.353882985465862,7.198148744833884,8.996039078840703,23,simulated
Green Lake,Lake,2025,Nitrate,9.945039491516834,7.688109391024617,8.93638985335308,30,simulated
Green Lake,Lake,2000,Secchi Depth,15.390673339109629,8.722489498755557,11.736454162472404,15,simulated
Green Lake,Lake,2001,Secchi Depth,11.718645869057069,9.904400355815604,10.814774325961912,17,simulated
Green Lake,Lake,2002,Secchi Depth,13.797764337499109,9.71076869225042,11.304989767939372,14,simulated
Green Lake,Lake,2003,Secchi Depth,13.887181512024092,10.422116305428302,11.985413487637212,13,simulated
Green Lake,Lake,2004,Secchi Depth,13.00265691186045,8.586080386600297,10.780718282524155,18,simulated
Green Lake,Lake,2005,Secchi Depth,12.383278317745894,9.217130706543637,10.410449288050652,18,simulated
Green Lake,Lake,2006,Secchi Depth,11.623651261002,8.169892590983213,10.281493618441209,14,simulated
Green Lake,Lake,2007,Secchi Depth,13.437658857137782,8.707051546129135,11.398997238785777,21,simulated
Green Lake,Lake,2008,Secchi Depth,11.078223324447613,8.228147857589535,10.314212319733771,20,simulated
Green Lake,Lake,2009,Secchi Depth,13.143660986285205,8.981738057995278,10.974681342941542,18,simulated
Green Lake,Lake,2010,Secchi Depth,13.40535916737571,10.003092861653474,11.338201422287836,18,simulated
Green Lake,Lake,2011,Secchi Depth,13.49247207364051,9.844955340794876,11.249231864237554,19,simulated
Green Lake,Lake,2012,Secchi Depth,13.877585917472354,8.75444536321764,11.370675782672508,16,simulated
Green Lake,Lake,2013,Secchi Depth,13.402446741279508,8.968726830161536,11.302401281901354,18,simulated
Green Lake,Lake,2014,Secchi Depth,13.832834182023776,9.827358287165813,11.77479152062306,12,simulated
Green Lake,Lake,2015,Secchi Depth,12.168540378917488,9.248788935286333,10.834632145410652,22,simulated
Green Lake,Lake,2016,Secchi Depth,12.414893810904967,10.250982414044858,10.971173285161225,15,simulated
Green Lake,Lake,2017,Secchi Depth,13.432470549701211,9.70448774247606,10.948045306960635,24,simulated
Green Lake,Lake,2018,Secchi Depth,14.450841476917379,8.589042386495478,11.658983671980025,19,simulated
Green Lake,Lake,2019,Secchi Depth,13.528138586285246,10.501928523865278,11.708672477093584,20,simulated
Green Lake,Lake,2020,Secchi Depth,13.489966179453926,9.493460017065395,11.533251392401024,19,simulated
Green Lake,Lake,2021,Secchi Depth,13.31782597945627,9.283536036409131,11.870427814992082,20,simulated
Green Lake,Lake,2022,Secchi Depth,13.319936446765674,9.729075801741997,10.862538039690186,25,simulated
Green Lake,Lake,2023,Secchi Depth,14.553847230917826,9.97980619887262,12.120569509065229,14,simulated
Green Lake,Lake,2024,Secchi Depth,15.276048616967394,9.487850525757791,12.07776813266453,26,simulated
Green Lake,Lake,2025,Secchi Depth,13.201983877789441,9.779061288476708,11.753347844864544,23,simulated
Green Lake,Lake,2000,Total Phosphorus,7.990228061650705,4.568880389689174,5.699188609175285,22,simulated
Green Lake,Lake,2001,Total Phosphorus,8.913174782639118,5.735851053524467,6.713923277665411,25,simulated
Green Lake,Lake,2002,Total Phosphorus,7.1827857726760005,4.026165327982406,5.696317022805883,27,simulated
Green Lake,Lake,2003,Total Phosphorus,6.877295187549419,3.5665744206246823,5.592511040243445,26,simulated
Green Lake,Lake,2004,Total Phosphorus,7.99042978107412,4.424930579508952,6.421600810804157,30,simulated
Green Lake,Lake,2005,Total Phosphorus,7.967804357525852,4.438076296006589,6.095763075587299,27,simulated
Green Lake,Lake,2006,Total Phosphorus,7.154337129063059,4.342464111657467,5.596162774593406,36,simulated
Green Lake,Lake,2007,Total Phosphorus,7.336508393654233,4.8985398267109606,5.995556404668724,33,simulated
Green Lake,Lake,2008,Total Phosphorus,6.938978576102418,3.637120678978131,5.513187150415558,31,simulated
Green Lake,Lake,2009,Total Phosphorus,8.008264017070125,4.091730772105494,6.26354099311583,33,simulated
Green Lake,Lake,2010,Total Phosphorus,6.832501238932692,5.312860294164814,6.220725080468378,34,simulated
Green Lake,Lake,2011,Total Phosphorus,7.858757925487735,3.5890867734120966,6.001148013447179,29,simulated
Green Lake,Lake,2012,Total Phosphorus,7.048685043539879,4.026434530348533,5.912574762068639,29,simulated
Green Lake,Lake,2013,Total Phosphorus,7.523480574677028,3.9189162989379756,6.386776642421551,32,simulated
Green Lake,Lake,2014,Total Phosphorus,6.499866665091151,4.798408681564396,5.72988280893988,34,simulated
Green Lake,Lake,2015,Total Phosphorus,5.948774032547104,4.435734040925698,5.284597029765377,32,simulated
Green Lake,Lake,2016,Total Phosphorus,6.779219054388074,4.319321061216723,5.836723529706429,28,simulated
Green Lake,Lake,2017,Total Phosphorus,7.753670283000611,4.385694486213634,6.385553860625356,30,simulated
Green Lake,Lake,2018,Total Phosphorus,7.546388023903219,3.0637021253441383,5.271284201505416,33,simulated
Green Lake,Lake,2019,Total Phosphorus,6.729770301338182,3.669377487921259,5.474902582741686,33,simulated
Green Lake,Lake,2020,Total Phosphorus,7.3593413830227945,4.276536699203951,5.719774866121441,39,simulated
Green Lake,Lake,2021,Total Phosphorus,7.217520964399679,4.489579325112832,5.531376030421763,30,simulated
Green Lake,Lake,2022,Total Phosphorus,6.654286800253816,3.254656010645313,5.187163178024865,36,simulated
Green Lake,Lake,2023,Total Phosphorus,7.447264333832788,4.745664921822387,5.883377346687459,39,simulated
Green Lake,Lake,2024,Total Phosphorus,7.35813661904116,3.726911076947659,6.264632779310734,40,simulated
Green Lake,Lake,2025,Total Phosphorus,7.6707287774784625,4.143078929530386,5.516158925773847,34,simulated
Lake Ann,Lake,2000,Chlorophyll-a,7.394615242028876,5.674631552244467,6.757944126903877,25,simulated
Lake Ann,Lake,2001,Chlorophyll-a,6.81912843636064,5.863417412862809,6.726815933181301,18,simulated
Lake Ann,Lake,2002,Chlorophyll-a,7.936996515451651,5.6982036357787775,6.709130801892891,25,simulated
Lake Ann,Lake,2003,Chlorophyll-a,7.863359717942394,5.953572423905706,6.836201488187527,26,simulated
Lake Ann,Lake,2004,Chlorophyll-a,6.986118186215913,5.33890535972051,6.348286253647554,24,simulated
Lake Ann,Lake,2005,Chlorophyll-a,7.739468525946303,6.0378660182414325,6.948092340366437,25,simulated
Lake Ann,Lake,2006,Chlorophyll-a,7.389641657257839,6.127244793891327,6.884018590878162,32,simulated
Lake Ann,Lake,2007,Chlorophyll-a,8.027673475293177,5.550234917556328,6.856128233346183,30,simulated
Lake Ann,Lake,2008,Chlorophyll-a,8.594417953504218,6.25053584499805,7.29747823741415,25,simulated
Lake Ann,Lake,2009,Chlorophyll-a,7.6546214999822855,5.934690908028096,6.843141270982101,23,simulated
Lake Ann,Lake,2010,Chlorophyll-a,7.951928733195736,6.442431645168542,6.926549358241461,28,simulated
Lake Ann,Lake,2011,Chlorophyll-a,8.279047086104436,6.883197086963444,7.397192619281662,28,simulated
Lake Ann,Lake,2012,Chlorophyll-a,7.386608388294953,6.06508740286018,6.917335699541058,31,simulated
Lake Ann,Lake,2013,Chlorophyll-a,7.6989417295607225,6.1758483063166745,7.003710603923747,28,simulated
Lake Ann,Lake,2014,Chlorophyll-a,7.9506836570742205,6.455965306536822,7.11316840963466,31,simulated
Lake Ann,Lake,2015,Chlorophyll-a,8.049349210613745,6.466603017724953,7.33215826602956,36,simulated
Lake Ann,Lake,2016,Chlorophyll-a,8.017904134255042,6.038015192422809,7.250578441357884,33,simulated
Lake Ann,Lake,2017,Chlorophyll-a,7.776885256914437,6.046308917611012,7.0052350228559614,30,simulated
Lake Ann,Lake,2018,Chlorophyll-a,7.977449707928288,6.648479573642557,7.183585564635223,30,simulated
Lake Ann,Lake,2019,Chlorophyll-a,8.034027462873933,6.41643055271919,7.205182631590792,30,simulated
Lake Ann,Lake,2020,Chlorophyll-a,7.909071944410937,6.711354825549428,7.342100142327409,35,simulated
Lake Ann,Lake,2021,Chlorophyll-a,8.13952615187522,6.726880157690377,7.475023667974388,30,simulated
Lake Ann,Lake,2022,Chlorophyll-a,8.033697432894167,6.7657380420523765,7.51085391634039,32,simulated
Lake Ann,Lake,2023,Chlorophyll-a,8.167719951762399,6.4328998779978095,7.124153870176151,33,simulated
Lake Ann,Lake,2024,Chlorophyll-a,8.033126454286222,7.1669279438428255,7.711451522528508,31,simulated
Lake Ann,Lake,2025,Chlorophyll-a,8.748875293764684,6.764631236712747,7.591509910805261,29,simulated
Lake Ann,Lake,2000,Chloride,7.522231271856517,5.616892991649161,6.583445499746205,7,simulated
Lake Ann,Lake,2001,Chloride,8.553895086569753,4.238623999214731,6.843137230467269,7,simulated
Lake Ann,Lake,2002,Chloride,7.7142116792614885,4.276816178421507,6.534003704156563,14,simulated
Lake Ann,Lake,2003,Chloride,7.80891110458785,5.1959797578901075,7.229424177285022,9,simulated
Lake Ann,Lake,2004,Chloride,8.59999419513946,5.3742542706453875,6.527897798378047,14,simulated
Lake Ann,Lake,2005,Chloride,9.812255970935345,5.806209638088196,7.542882522015386,13,simulated
Lake Ann,Lake,2006,Chloride,7.823229308408248,4.9164094714750775,6.322830211429547,18,simulated
Lake Ann,Lake,2007,Chloride,8.998920959295797,5.35101952011024,7.200658076486622,7,simulated
Lake Ann,Lake,2008,Chloride,9.531526437173914,4.839366728559002,7.281587872085303,16,simulated
Lake Ann,Lake,2009,Chloride,8.572623851119133,4.8350231686060905,6.861370760765325,16,simulated
Lake Ann,Lake,2010,Chloride,9.59165244887338,6.225455239461055,7.394966504281094,10,simulated
Lake Ann,Lake,2011,Chloride,9.454578702548794,5.221641519234853,7.79551640947656,16,simulated
Lake Ann,Lake,2012,Chloride,8.60531002458415,4.832000040800663,6.49138323144836,14,simulated
Lake Ann,Lake,2013,Chloride,9.584198839359845,5.479346586627334,7.629728410878891,13,simulated
Lake Ann,Lake,2014,Chloride,8.106475371894016,4.312388310749991,6.49931915347173,11,simulated
Lake Ann,Lake,2015,Chloride,8.213692335053105,6.058135152978931,7.175775178310003,12,simulated
Lake Ann,Lake,2016,Chloride,10.405492066139947,6.38071592683863,8.299206833807034,20,simulated
Lake Ann,Lake,2017,Chloride,8.773902984494446,5.998640897981741,7.464899777114338,15,simulated
Lake Ann,Lake,2018,Chloride,8.663678652410187,6.385075036584448,7.286945481869195,17,simulated
Lake Ann,Lake,2019,Chloride,9.13233435452184,5.759673379147371,7.762180063244125,13,simulated
Lake Ann,Lake,2020,Chloride,10.18801321684596,5.188857192375528,8.790873794114674,13,simulated
Lake Ann,Lake,2021,Chloride,9.964568272486833,6.45252713785645,7.20696580987925,19,simulated
Lake Ann,Lake,2022,Chloride,10.096581283209801,5.847809279923858,7.608530392031024,12,simulated
Lake Ann,Lake,2023,Chloride,12.020695629564646,6.337756140400147,8.785126464868132,15,simulated
Lake Ann,Lake,2024,Chloride,10.357941166662942,6.836682348459009,9.023003145241184,17,simulated
Lake Ann,Lake,2025,Chloride,10.203489698798403,6.377868606532381,8.237441641689209,17,simulated
Lake Ann,Lake,2000,Nitrate,12.18839148761334,7.777653084406399,10.627977017117576,26,simulated
Lake Ann,Lake,2001,Nitrate,13.851645533987636,8.59955069592961,10.758194465536135,26,simulated
Lake Ann,Lake,2002,Nitrate,13.727785789971305,8.350217377682167,10.745213996753224,26,simulated
Lake Ann,Lake,2003,Nitrate,11.955700879598814,8.136868183015142,9.753790821215908,22,simulated
Lake Ann,Lake,2004,Nitrate,12.735169138579272,7.750414547015568,10.109170254448127,22,simulated
Lake Ann,Lake,2005,Nitrate,14.251883794146785,8.947426044616133,10.89068914430132,25,simulated
Lake Ann,Lake,2006,Nitrate,13.869171521650326,9.01090572310814,10.689037028810642,27,simulated
Lake Ann,Lake,2007,Nitrate,10.869140579289486,7.019601728885734,9.41095153319262,24,simulated
Lake Ann,Lake,2008,Nitrate,13.353021201479853,7.731622072973124,10.320585637201557,28,simulated
